id,Nachname,Vorname,Klassenstufe,Schule,Name der Mathematiklehrkraft,Vormittagskurs Erstwunsch,Vormittagskurs Zweitwunsch,Nachmittagskurs Erstwunsch,Nachmittagskurs Zweitwunsch
0,Musterfrau,Eva,11,Schiller-Schule,Meyer,Workshop 3,Workshop 2,Workshop 6,Workshop 5
1,Weber,Max,11,Goethe-Gymnasium,Schneider,Workshop 1,Workshop 3,Workshop 5,Workshop 6
2,Musterfrau,Noah,12,Leibniz-Gymnasium,Müller,Workshop 3,Workshop 3,Workshop 6,Workshop 4
3,Becker,Lukas,12,Kant-Gymnasium,Fischer,Workshop 3,Workshop 1,Workshop 4,Workshop 6
4,Schmidt,Anna,11,Faust-Gymnasium,Meyer,Workshop 3,Workshop 2,Workshop 6,Workshop 6
5,Wagner,Leon,10,Faust-Gymnasium,Schneider,Workshop 3,Workshop 1,Workshop 5,Workshop 4
6,Schmidt,Noah,11,Kant-Gymnasium,Schneider,Workshop 2,Workshop 3,Workshop 6,Workshop 4
7,Mustermann,Emma,11,Kant-Gymnasium,Schneider,Workshop 3,Workshop 2,Workshop 6,Workshop 6
8,Meyer,Paul,12,Kant-Gymnasium,Schmidt,Workshop 2,Workshop 3,Workshop 5,Workshop 6
9,Meier,Anna,9,Faust-Gymnasium,Schmidt,Workshop 3,Workshop 1,Workshop 5,Workshop 5
10,Wagner,Lukas,12,Leibniz-Gymnasium,Schmidt,Workshop 2,Workshop 2,Workshop 6,Workshop 4
11,Meyer,Anna,9,Faust-Gymnasium,Schneider,Workshop 1,Workshop 2,Workshop 5,Workshop 4
12,Schmidt,Mia,11,Leibniz-Gymnasium,Müller,Workshop 1,Workshop 3,Workshop 6,Workshop 6
13,Mustermann,Anna,12,Faust-Gymnasium,Schneider,Workshop 1,Workshop 2,Workshop 4,Workshop 5
14,Meyer,Lina,12,Faust-Gymnasium,Schneider,Workshop 3,Workshop 2,Workshop 4,Workshop 5
15,Musterfrau,Leon,12,Schiller-Schule,Müller,Workshop 2,Workshop 3,Workshop 5,Workshop 6
16,Wagner,Lukas,9,Schiller-Schule,Meyer,Workshop 1,Workshop 1,Workshop 6,Workshop 5
17,Mustermann,Eva,11,Kant-Gymnasium,Müller,Workshop 3,Workshop 2,Workshop 6,Workshop 4
